Block	geneID1	chr1	start_pos1	end_pos1	geneID2	chr2	start_pos2	end_pos2	ka_NG86	ks_NG86	ka_YN00	ks_YN00	value_x	value_y	slope	outlier
1	Zo_SA_chr01A_113	chr01A	1390976	1393291	Zo_SB_chr01B_179	chr01B	2232989	2233321	0.0796	0.1319	0.0677	0.2661	1392130	2233155	1.60412	NA
1	Zo_SA_chr01A_114	chr01A	1392871	1411416	Zo_SB_chr01B_180	chr01B	2250068	2264756	0.0027	0.0176	0.0028	0.0173	1402140	2257412	1.60997	NA
1	Zo_SA_chr01A_115	chr01A	1412956	1438002	Zo_SB_chr01B_181	chr01B	2271552	2280722	0.0282	0.0799	0.0297	0.0694	1425479	2276137	1.59675	NA
1	Zo_SA_chr01A_116	chr01A	1439007	1442243	Zo_SB_chr01B_182	chr01B	2284000	2287446	0.0058	0.0359	0.0058	0.0366	1440625	2285723	1.58662	NA
1	Zo_SA_chr01A_117	chr01A	1445036	1446197	Zo_SB_chr01B_183	chr01B	2293244	2294406	0.0102	0.0173	0.0101	0.0178	1445620	2293825	1.58675	NA
1	Zo_SA_chr01A_118	chr01A	1461126	1472229	Zo_SB_chr01B_184	chr01B	2296471	2310112	0.0481	0.0904	0.0486	0.0884	1466680	2303290	1.57041	NA
1	Zo_SA_chr01A_119	chr01A	1472343	1475124	Zo_SB_chr01B_185	chr01B	2310327	2313126	0.0048	0.0235	0.0052	0.0185	1473730	2311730	1.56862	NA
1	Zo_SA_chr01A_120	chr01A	1476997	1482361	Zo_SB_chr01B_186	chr01B	2315025	2320362	0.0065	0.0132	0.0069	0.0108	1479679	2317690	1.56635	NA
1	Zo_SA_chr01A_121	chr01A	1483383	1486311	Zo_SB_chr01B_187	chr01B	2321409	2324254	0.0063	0.0221	0.0061	0.0234	1484847	2322830	1.56436	NA
1	Zo_SA_chr01A_122	chr01A	1488042	1493439	Zo_SB_chr01B_188	chr01B	2326044	2332755	0.0032	0.0036	0.0035	0.0028	1490740	2329400	1.56258	NA
1	Zo_SA_chr01A_123	chr01A	1495512	1502452	Zo_SB_chr01B_189	chr01B	2334995	2341850	0.0123	0.0225	0.0123	0.0223	1498982	2338420	1.56001	NA
1	Zo_SA_chr01A_124	chr01A	1525179	1527812	Zo_SB_chr01B_190	chr01B	2364035	2366713	0.0121	0.0169	0.0124	0.0155	1526500	2365374	1.54955	NA
1	Zo_SA_chr01A_125	chr01A	1533021	1538413	Zo_SB_chr01B_191	chr01B	2367061	2372403	0.0085	0.0305	0.0096	0.0221	1535717	2369732	1.54308	NA
1	Zo_SA_chr01A_127	chr01A	1539978	1541708	Zo_SB_chr01B_192	chr01B	2374001	2375754	0.0084	0.0255	0.0086	0.0239	1540843	2374880	1.54128	NA
1	Zo_SA_chr01A_128	chr01A	1552190	1553452	Zo_SB_chr01B_193	chr01B	2390165	2391523	0.0109	0.0257	0.0117	0.0205	1552821	2390844	1.53968	NA
1	Zo_SA_chr01A_129	chr01A	1554143	1559181	Zo_SB_chr01B_195	chr01B	2400451	2400921	0.1189	0.1287	0.1146	0.1475	1556662	2400686	1.5422	NA
1	Zo_SA_chr01A_130	chr01A	1564584	1568492	Zo_SB_chr01B_196	chr01B	2404434	2408408	0.0532	0.0335	0.0514	0.0375	1566538	2406421	1.53614	NA
1	Zo_SA_chr01A_131	chr01A	1569364	1571582	Zo_SB_chr01B_197	chr01B	2410023	2412233	0.0025	0.0291	0.0023	0.038	1570473	2411128	1.53529	NA
1	Zo_SA_chr01A_133	chr01A	1635297	1636428	Zo_SB_chr01B_203	chr01B	2660459	2661395	0.0027	0.0259	0.003	0.0209	1635860	2660927	1.62662	NA
1	Zo_SA_chr01A_134	chr01A	1637336	1638255	Zo_SB_chr01B_204	chr01B	2662495	2663417	0.0111	0.0701	0.0108	0.0756	1637800	2662956	1.62594	NA
1	Zo_SA_chr01A_135	chr01A	1644413	1645364	Zo_SB_chr01B_205	chr01B	2667742	2668645	0	0.026	0	0.0205	1644890	2668190	1.62211	NA
1	Zo_SA_chr01A_136	chr01A	1661562	1662536	Zo_SB_chr01B_206	chr01B	2670671	2671593	0.0027	0.091	0.0031	0.0683	1662049	2671132	1.60713	NA
1	Zo_SA_chr01A_142	chr01A	1703659	1704628	Zo_SB_chr01B_209	chr01B	2704984	2705865	0.0139	0.0342	0.0141	0.0331	1704140	2705420	1.58756	NA
1	Zo_SA_chr01A_147	chr01A	1827046	1827898	Zo_SB_chr01B_211	chr01B	2719205	2723939	0.0028	0.0169	0.003	0.014	1827472	2721572	1.48926	NA
1	Zo_SA_chr01A_150	chr01A	1864796	1869287	Zo_SB_chr01B_214	chr01B	2810446	2818474	0.0237	0.0587	0.0228	0.0694	1867040	2814460	1.50744	NA
1	Zo_SA_chr01A_154	chr01A	2042075	2042797	Zo_SB_chr01B_216	chr01B	2927388	2927876	0.0203	0	0.0192	0	2042436	2927632	1.4334	NA
1	Zo_SA_chr01A_155	chr01A	2052913	2055477	Zo_SB_chr01B_219	chr01B	3005284	3005771	0.008	0.015	0.0084	0.0129	2054195	3005530	1.46312	NA
1	Zo_SA_chr01A_156	chr01A	2058683	2061958	Zo_SB_chr01B_222	chr01B	3025996	3027145	0.0217	0.0217	0.0228	0.019	2060320	3026570	1.46898	NA
1	Zo_SA_chr01A_157	chr01A	2062658	2063581	Zo_SB_chr01B_223	chr01B	3030081	3031001	0.0074	0.0259	0.0069	0.0325	2063120	3030541	1.46891	NA
1	Zo_SA_chr01A_160	chr01A	2111502	2117884	Zo_SB_chr01B_224	chr01B	3040414	3047108	0.0037	0.0097	0.0039	0.0087	2114693	3043761	1.43934	NA
1	Zo_SA_chr01A_161	chr01A	2119272	2129339	Zo_SB_chr01B_225	chr01B	3047863	3058433	0.0157	0.0365	0.0156	0.0379	2124310	3053148	1.43725	NA
1	Zo_SA_chr01A_162	chr01A	2204523	2207036	Zo_SB_chr01B_226	chr01B	3133459	3135752	0.0506	0.0358	0.0492	0.0392	2205780	3134610	1.42109	NA
1	Zo_SA_chr01A_163	chr01A	2208920	2212291	Zo_SB_chr01B_227	chr01B	3137538	3142051	0.0011	0.0209	0.0012	0.0165	2210610	3139790	1.42033	NA
1	Zo_SA_chr01A_165	chr01A	2237584	2238066	Zo_SB_chr01B_230	chr01B	3162534	3169230	0.0537	0.1326	0.0482	0.2186	2237825	3165882	1.41471	NA
1	Zo_SA_chr01A_166	chr01A	2263909	2264409	Zo_SB_chr01B_231	chr01B	3182426	3182917	0.0027	0.0416	0.0026	0.0498	2264159	3182670	1.40567	NA
1	Zo_SA_chr01A_167	chr01A	2264647	2269233	Zo_SB_chr01B_232	chr01B	3183150	3190561	0.0469	0.1187	0.0487	0.107	2266940	3186860	1.4058	NA
1	Zo_SA_chr01A_168	chr01A	2268634	2269386	Zo_SB_chr01B_233	chr01B	3189964	3190704	0.0242	0.0208	0.0253	0.0182	2269010	3190334	1.40605	NA
1	Zo_SA_chr01A_169	chr01A	2282445	2284659	Zo_SB_chr01B_234	chr01B	3212638	3223751	0.0034	0.0325	0.0037	0.0271	2283552	3218190	1.40929	NA
1	Zo_SA_chr01A_170	chr01A	2299430	2300452	Zo_SB_chr01B_237	chr01B	3236923	3237942	0.0026	0.0297	0.0025	0.0348	2299941	3237430	1.40762	NA
1	Zo_SA_chr01A_171	chr01A	2321183	2324354	Zo_SB_chr01B_238	chr01B	3255659	3258829	0.0064	0.0169	0.0062	0.0186	2322770	3257244	1.40231	NA
1	Zo_SA_chr01A_172	chr01A	2325717	2326971	Zo_SB_chr01B_239	chr01B	3260193	3261912	0.0116	0.0267	0.0126	0.0216	2326344	3261050	1.40179	NA
1	Zo_SA_chr01A_173	chr01A	2329126	2332105	Zo_SB_chr01B_240	chr01B	3263736	3266513	0.1647	0.1527	0.1658	0.1522	2330620	3265120	1.40097	NA
1	Zo_SA_chr01A_174	chr01A	2332823	2335406	Zo_SB_chr01B_241	chr01B	3267261	3269845	0.0022	0.027	0.0024	0.0221	2334110	3268553	1.40034	NA
1	Zo_SA_chr01A_175	chr01A	2335751	2343002	Zo_SB_chr01B_242	chr01B	3270184	3277555	0.0073	0.0204	0.0077	0.0179	2339380	3273870	1.39946	NA
1	Zo_SA_chr01A_176	chr01A	2341937	2342824	Zo_SB_chr01B_243	chr01B	3276301	3277377	0.015	0.0142	0.016	0.012	2342380	3276839	1.39894	NA
1	Zo_SA_chr01A_179	chr01A	2606207	2610367	Zo_SB_chr01B_244	chr01B	3295024	3299177	0.0247	0.0561	0.0245	0.0578	2608287	3297100	1.26409	NA
1	Zo_SA_chr01A_180	chr01A	2626078	2628539	Zo_SB_chr01B_245	chr01B	3311348	3313807	0.0077	0.0361	0.0081	0.0316	2627310	3312580	1.26083	NA
1	Zo_SA_chr01A_181	chr01A	2655847	2657457	Zo_SB_chr01B_247	chr01B	3343684	3345296	0.0056	0.0322	0.0052	0.0425	2656652	3344490	1.25891	NA
1	Zo_SA_chr01A_182	chr01A	2658979	2660824	Zo_SB_chr01B_248	chr01B	3346717	3348553	0.0065	0.0168	0.0057	0.0289	2659900	3347635	1.25856	NA
1	Zo_SA_chr01A_183	chr01A	2661799	2665727	Zo_SB_chr01B_249	chr01B	3349367	3352906	0.0033	0.0146	0.0033	0.0141	2663763	3351140	1.25805	NA
1	Zo_SA_chr01A_184	chr01A	2665810	2673544	Zo_SB_chr01B_250	chr01B	3353668	3361619	0.002	0.021	0.0022	0.017	2669677	3357640	1.2577	NA
1	Zo_SA_chr01A_185	chr01A	2675140	2682290	Zo_SB_chr01B_251	chr01B	3363082	3370379	0.001	0.0221	0.001	0.0175	2678715	3366730	1.25685	NA
1	Zo_SA_chr01A_186	chr01A	2733636	2734154	Zo_SB_chr01B_252	chr01B	3392015	3392605	0.0155	0.0444	0.0155	0.0451	2733895	3392310	1.24083	NA
1	Zo_SA_chr01A_188	chr01A	2749943	2750416	Zo_SB_chr01B_253	chr01B	3399198	3399671	0.0141	0.0272	0.0122	0.0552	2750180	3399430	1.23608	NA
1	Zo_SA_chr01A_189	chr01A	2799396	2800151	Zo_SB_chr01B_254	chr01B	3424256	3425011	0.0087	0.0176	0.008	0.025	2799770	3424630	1.22318	NA
1	Zo_SA_chr01A_190	chr01A	2802471	2804558	Zo_SB_chr01B_255	chr01B	3427467	3429218	0.127	0.1513	0.1294	0.1435	2803510	3428340	1.22287	NA
1	Zo_SA_chr01A_191	chr01A	2808340	2811187	Zo_SB_chr01B_256	chr01B	3433234	3435765	0.003	0.0284	0.0026	0.0532	2809760	3434500	1.22234	NA
1	Zo_SA_chr01A_192	chr01A	2836792	2837289	Zo_SB_chr01B_257	chr01B	3456424	3456921	0.0027	0.0082	0.0024	0.014	2837040	3456670	1.21841	NA
1	Zo_SA_chr01A_197	chr01A	2900153	2901747	Zo_SB_chr01B_262	chr01B	3611547	3613168	0.004	0.0066	0.004	0.0066	2900950	3612360	1.24523	NA
1	Zo_SA_chr01A_204	chr01A	3045478	3051901	Zo_SB_chr01B_270	chr01B	3777591	3783734	0.0024	0.0209	0.0025	0.0187	3048690	3780660	1.24009	NA
1	Zo_SA_chr01A_205	chr01A	3053799	3060370	Zo_SB_chr01B_273	chr01B	3804953	3811461	0.0019	0.0215	0.002	0.0195	3057080	3808207	1.2457	NA
1	Zo_SA_chr01A_211	chr01A	3197700	3199847	Zo_SB_chr01B_280	chr01B	3946269	3959364	0.0115	0.0221	0.0121	0.0187	3198770	3952820	1.23573	NA
1	Zo_SA_chr01A_212	chr01A	3202888	3208289	Zo_SB_chr01B_281	chr01B	3964242	3973203	0	0	0	0	3205590	3968720	1.23806	NA
1	Zo_SA_chr01A_213	chr01A	3215375	3218575	Zo_SB_chr01B_282	chr01B	3987455	3991836	0.0186	0.0335	0.0204	0.0256	3216975	3989650	1.24019	NA
1	Zo_SA_chr01A_225	chr01A	3756166	3761134	Zo_SB_chr01B_285	chr01B	4148527	4153524	0.0044	0.033	0.0046	0.0304	3758650	4151030	1.10439	NA
1	Zo_SA_chr01A_226	chr01A	3763352	3764284	Zo_SB_chr01B_286	chr01B	4156145	4157077	0.0057	0.0407	0.0059	0.0374	3763818	4156611	1.10436	NA
1	Zo_SA_chr01A_227	chr01A	3782662	3784720	Zo_SB_chr01B_287	chr01B	4170855	4172909	0.0058	0.0419	0.0061	0.0356	3783691	4171882	1.1026	NA
